frame,Coord
689,"[(826.0, 388.0), (340.0, 233.0), (624.0, 269.0)]"
690,"[(340.0, 234.0), (827.0, 389.0), (624.5, 269.5)]"
691,"[(342.0, 234.0), (824.5, 388.5)]"
692,"[(340.0, 235.0)]"
693,"[(340.5, 233.5), (1189.5, 461.5)]"
694,"[(339.5, 232.5), (1184.5, 456.5)]"
695,"[(1177.0, 452.0)]"
696,"[(1177.5, 445.5)]"
697,"[(1177.5, 443.5)]"
698,"[(1177.5, 439.5)]"
699,"[(1178.5, 439.5)]"
700,"[(1183.0, 439.0)]"
701,"[(1187.0, 439.0)]"
702,"[(1188.5, 438.5)]"
703,"[(1188.5, 438.5), (484.0, 344.0)]"
704,"[(1188.0, 442.0), (485.5, 344.5)]"
705,"[(484.0, 344.0)]"
706,"[(486.5, 343.5)]"
707,"[(485.5, 340.5)]"
708,"[(479.5, 340.5)]"
709,"[(479.0, 340.0)]"
710,"[(481.0, 340.0)]"
711,"[(481.5, 338.5)]"
712,"[(478.0, 338.0)]"
713,"[(481.0, 339.0)]"
714,"[(482.5, 341.5)]"
716,"[(626.5, 262.5)]"
717,"[(626.5, 258.5)]"
718,"[(623.5, 258.5), (336.0, 234.0)]"
719,"[(620.5, 258.5), (332.5, 232.5)]"
720,"[(619.5, 255.5), (330.0, 233.0)]"
721,"[(329.5, 232.5), (617.0, 254.0)]"
722,"[(616.0, 255.0), (326.5, 233.5), (823.0, 376.0)]"
723,"[(323.0, 235.0), (615.0, 255.0), (822.5, 372.5), (1169.0, 427.0)]"
724,"[(319.0, 236.0), (823.5, 371.5), (612.5, 257.5), (1169.5, 424.5)]"
725,"[(318.5, 234.5), (821.5, 370.5), (1164.5, 417.5), (611.0, 259.0)]"
726,"[(1163.5, 416.5), (316.0, 233.0), (822.0, 368.0), (604.5, 258.5)]"
727,"[(1161.0, 414.0), (313.0, 234.0), (821.0, 371.0), (599.5, 257.5)]"
728,"[(1158.0, 412.0)]"
729,"[(1155.0, 409.0)]"
730,"[(1148.0, 408.0)]"
731,"[(1147.0, 406.0)]"
732,"[(1147.0, 405.0)]"
733,"[(1146.0, 406.0)]"
734,"[(1143.5, 405.5)]"
739,"[(424.5, 339.5)]"
740,"[(415.0, 339.0)]"
741,"[(409.5, 333.5)]"
742,"[(399.5, 331.5)]"
743,"[(382.5, 331.5)]"
744,"[(371.0, 332.0)]"
745,"[(356.0, 331.0)]"
746,"[(340.5, 330.5)]"
747,"[(338.0, 329.0)]"
748,"[(331.5, 328.5)]"
749,"[(327.5, 329.5)]"
750,"[(324.0, 329.0), (150.0, 240.0)]"
751,"[(318.0, 329.0), (144.0, 238.0)]"
752,"[(139.0, 242.0), (1001.5, 381.5)]"
753,"[(139.5, 241.5), (999.5, 379.5), (436.0, 247.0)]"
754,"[(997.0, 377.0), (438.5, 248.5), (136.5, 243.5)]"
755,"[(997.0, 374.0), (440.5, 247.5), (135.5, 243.5)]"
756,"[(997.5, 368.5), (439.0, 248.0), (133.0, 242.0)]"
757,"[(439.5, 247.5), (996.5, 364.5), (668.0, 349.0), (136.5, 234.5)]"
758,"[(670.0, 346.0), (995.5, 361.5), (440.5, 246.5), (138.5, 233.5)]"
759,"[(996.5, 359.5), (672.5, 342.5), (443.5, 246.5), (138.0, 233.0)]"
760,"[(998.5, 358.5), (673.5, 341.5), (444.0, 247.0)]"
761,"[(1000.5, 358.5), (674.5, 338.5), (445.0, 248.0)]"
762,"[(1001.0, 359.0), (673.5, 337.5), (448.5, 247.5)]"
763,"[(1004.0, 360.0), (449.0, 248.0), (675.0, 337.0)]"
764,"[(1001.5, 364.5), (681.0, 337.0)]"
765,"[(1000.5, 366.5)]"
774,"[(385.5, 321.5)]"
775,"[(386.0, 320.0)]"
776,"[(386.0, 323.0)]"
777,"[(388.5, 316.5)]"
778,"[(390.0, 314.0)]"
779,"[(389.5, 315.5)]"
780,"[(392.0, 313.0)]"
781,"[(395.0, 312.0), (1067.5, 355.5)]"
782,"[(395.0, 312.0), (1065.5, 354.5), (218.5, 232.5)]"
783,"[(396.0, 311.0), (1067.0, 350.0), (225.0, 236.0)]"
784,"[(401.5, 309.5), (1068.0, 350.0), (227.5, 233.5)]"
785,"[(231.5, 232.5), (1069.0, 348.0), (404.5, 310.5)]"
786,"[(1069.0, 346.0), (231.0, 231.0), (409.5, 310.5)]"
787,"[(1067.0, 344.0), (230.0, 231.0), (411.0, 311.0)]"
788,"[(1070.5, 341.5), (232.5, 229.5), (408.0, 314.0)]"
789,"[(1072.5, 339.5), (235.0, 229.0), (521.0, 233.0)]"
790,"[(1072.5, 338.5), (522.0, 233.0), (234.5, 222.5)]"
791,"[(1074.5, 338.5), (233.5, 222.5), (520.5, 234.5)]"
792,"[(1075.0, 340.0), (523.0, 233.0), (236.5, 222.5)]"
793,"[(1070.0, 340.0), (521.5, 230.5)]"
794,"[(1064.0, 343.0), (523.5, 230.5)]"
795,"[(757.5, 316.5), (524.0, 229.0)]"
